exchange,stock_symbol,date,dividends
NYSE,OFC,2009-12-29,0.393
NYSE,OFC,2009-09-28,0.393
NYSE,OFC,2009-06-26,0.373
NYSE,OFC,2009-03-27,0.373
NYSE,OFC,2008-12-29,0.373
NYSE,OFC,2008-09-26,0.373
NYSE,OFC,2008-06-26,0.34
NYSE,OFC,2008-03-27,0.34
NYSE,OFC,2007-12-27,0.34
NYSE,OFC,2007-09-26,0.34
NYSE,OFC,2007-06-27,0.31
NYSE,OFC,2007-03-28,0.31
NYSE,OFC,2006-12-27,0.31
NYSE,OFC,2006-09-27,0.31
NYSE,OFC,2006-06-28,0.28
NYSE,OFC,2006-03-29,0.28
NYSE,OFC,2005-12-28,0.28
NYSE,OFC,2005-09-28,0.28
NYSE,OFC,2005-06-28,0.255
NYSE,OFC,2005-03-29,0.255
NYSE,OFC,2004-12-29,0.255
NYSE,OFC,2004-09-28,0.255
NYSE,OFC,2004-06-28,0.235
NYSE,OFC,2004-03-29,0.235
NYSE,OFC,2003-12-29,0.235
NYSE,OFC,2003-09-26,0.235
NYSE,OFC,2003-06-26,0.22
NYSE,OFC,2003-03-27,0.22
NYSE,OFC,2002-12-27,0.22
NYSE,OFC,2002-09-26,0.22
NYSE,OFC,2002-06-26,0.21
NYSE,OFC,2002-03-26,0.21
NYSE,OFC,2001-12-27,0.21
NYSE,OFC,2001-09-26,0.21
NYSE,OFC,2001-06-27,0.2
NYSE,OFC,2001-03-28,0.2
NYSE,OFC,2000-12-27,0.2
NYSE,OFC,2000-09-27,0.2
NYSE,OFC,2000-06-28,0.19
NYSE,OFC,2000-03-29,0.19
NYSE,OFC,1999-12-29,0.19
NYSE,OFC,1999-09-28,0.19
NYSE,OFC,1999-06-28,0.18
NYSE,OFC,1999-03-29,0.18
NYSE,OFC,1998-12-29,0.18
NYSE,OFC,1998-09-16,0.18
NYSE,OFC,1998-06-26,0.15
NYSE,OFC,1998-03-27,0.15
NYSE,OFC,1997-12-29,0.125
NYSE,OFC,1997-09-26,0.125
NYSE,OFC,1997-06-26,0.125
NYSE,OFC,1997-03-26,0.125
NYSE,OFC,1996-12-26,0.125
NYSE,OFC,1996-09-26,0.125
NYSE,OFC,1996-06-27,0.125
NYSE,OFC,1996-03-27,0.212
NYSE,OFC,1995-12-27,0.212
NYSE,OFC,1995-09-27,0.212
NYSE,OTE,2009-06-29,0.528
NYSE,OTE,2008-06-26,0.59
NYSE,OTE,2007-06-28,0.37
NYSE,OTE,2004-06-22,0.211
NYSE,OTE,2003-07-09,0.406
NYSE,OTE,2003-06-17,0.0
NYSE,OTE,2002-06-17,0.332
NYSE,OTE,2001-06-21,0.298
NYSE,OTE,2000-06-27,0.276
NYSE,OTE,1999-06-22,0.318
NYSE,OSK,2009-02-10,0.1
NYSE,OSK,2008-11-13,0.1
NYSE,OSK,2008-08-13,0.1
NYSE,OSK,2008-05-13,0.1
NYSE,OSK,2008-02-13,0.1
NYSE,OSK,2007-11-13,0.1
NYSE,OSK,2007-08-13,0.1
NYSE,OSK,2007-05-15,0.1
NYSE,OSK,2007-02-14,0.1
NYSE,OSK,2006-11-10,0.1
NYSE,OSK,2006-08-11,0.1
NYSE,OSK,2006-05-12,0.1
NYSE,OSK,2006-02-14,0.1
NYSE,OSK,2005-11-14,0.068
NYSE,OSK,2005-08-12,0.0675
NYSE,OSK,2005-05-13,0.0665
NYSE,OSK,2005-02-03,0.044
NYSE,OSK,2004-11-04,0.044
NYSE,OSK,2004-08-04,0.044
NYSE,OSK,2004-05-04,0.029
NYSE,OSK,2004-02-04,0.029
NYSE,OSK,2003-11-04,0.029
NYSE,OSK,2003-08-04,0.02875
NYSE,OSK,2003-05-02,0.0215
NYSE,OSK,2003-02-04,0.02175
NYSE,OSK,2002-11-04,0.0215
NYSE,OSK,2002-05-02,0.0215
NYSE,OSK,2002-02-04,0.0215
NYSE,OSK,2001-11-02,0.0215
NYSE,OSK,2001-08-02,0.0215
NYSE,OSK,2001-05-01,0.0215
NYSE,OSK,2001-01-31,0.0215
NYSE,OSK,2000-10-30,0.02175
NYSE,OSK,2000-07-31,0.0215
NYSE,OSK,2000-04-28,0.0215
NYSE,OSK,2000-02-03,0.0215
NYSE,OSK,1999-11-04,0.022
NYSE,OSK,1999-08-03,0.02083
NYSE,OSK,1999-05-04,0.02083
NYSE,OSK,1999-02-04,0.02083
NYSE,OSK,1998-11-04,0.02083
NYSE,OSK,1998-08-04,0.02083
NYSE,OSK,1998-05-04,0.02083
NYSE,OSK,1998-02-04,0.02083
NYSE,OSK,1997-11-04,0.02083
NYSE,OSK,1997-08-04,0.02083
NYSE,OSK,1997-05-02,0.02083
NYSE,OSK,1997-02-04,0.02083
NYSE,OSK,1996-11-13,0.02083
NYSE,OSK,1996-08-02,0.02083
NYSE,OSK,1996-05-02,0.02083
NYSE,OSK,1996-02-01,0.02083
NYSE,OSK,1995-11-02,0.02083
NYSE,OSK,1995-08-03,0.02083
NYSE,OSK,1995-05-02,0.02083
NYSE,OSK,1995-02-02,0.02083
NYSE,OSK,1994-11-01,0.02083
NYSE,OSK,1994-08-02,0.02083
NYSE,OSK,1994-05-03,0.02083
NYSE,OSK,1993-11-02,0.02083
NYSE,OSK,1993-08-02,0.02083
NYSE,OSK,1993-05-03,0.02083
NYSE,OSK,1993-01-22,0.02083
NYSE,OSK,1992-10-08,0.02083
NYSE,OSK,1992-07-09,0.02083
NYSE,OSK,1992-04-09,0.02083
NYSE,OSK,1992-01-09,0.02083
NYSE,OSK,1991-07-09,0.02083
NYSE,OSK,1991-04-09,0.02083
NYSE,OSK,1991-01-09,0.02083
NYSE,OSK,1990-10-09,0.02083
NYSE,OSK,1990-07-09,0.02083
NYSE,OXY,2009-12-08,0.33
NYSE,OXY,2009-09-08,0.33
NYSE,OXY,2009-06-08,0.33
NYSE,OXY,2009-03-06,0.32
NYSE,OXY,2008-12-08,0.32
NYSE,OXY,2008-09-08,0.32
NYSE,OXY,2008-06-06,0.32
NYSE,OXY,2008-03-06,0.25
NYSE,OXY,2007-12-06,0.25
NYSE,OXY,2007-09-06,0.25
NYSE,OXY,2007-06-06,0.22
NYSE,OXY,2007-03-07,0.22
NYSE,OXY,2006-12-06,0.22
NYSE,OXY,2006-09-06,0.22
NYSE,OXY,2006-06-07,0.18
NYSE,OXY,2006-03-08,0.18
NYSE,OXY,2005-12-07,0.18
NYSE,OXY,2005-09-07,0.155
NYSE,OXY,2005-06-08,0.155
NYSE,OXY,2005-03-08,0.155
NYSE,OXY,2004-12-08,0.1375
NYSE,OXY,2004-09-08,0.1375
NYSE,OXY,2004-06-08,0.1375
NYSE,OXY,2004-03-08,0.1375
NYSE,OXY,2003-12-08,0.13
NYSE,OXY,2003-09-08,0.13
NYSE,OXY,2003-06-06,0.13
NYSE,OXY,2003-03-06,0.13
NYSE,OXY,2002-12-06,0.125
NYSE,OXY,2002-09-06,0.125
NYSE,OXY,2002-06-06,0.125
NYSE,OXY,2002-03-06,0.125
NYSE,OXY,2001-12-06,0.125
NYSE,OXY,2001-09-06,0.125
NYSE,OXY,2001-06-06,0.125
NYSE,OXY,2001-03-07,0.125
NYSE,OXY,2000-12-06,0.125
NYSE,OXY,2000-09-06,0.125
NYSE,OXY,2000-06-07,0.125
NYSE,OXY,2000-03-08,0.125
NYSE,OXY,1999-12-08,0.125
NYSE,OXY,1999-09-08,0.125
NYSE,OXY,1999-06-08,0.125
NYSE,OXY,1999-03-08,0.125
NYSE,OXY,1998-12-08,0.125
NYSE,OXY,1998-09-08,0.125
NYSE,OXY,1998-06-08,0.125
NYSE,OXY,1998-03-06,0.125
NYSE,OXY,1997-12-08,0.125
NYSE,OXY,1997-09-08,0.125
NYSE,OXY,1997-06-06,0.125
NYSE,OXY,1997-03-05,0.125
NYSE,OXY,1996-12-06,0.125
NYSE,OXY,1996-09-06,0.125
NYSE,OXY,1996-06-06,0.125
NYSE,OXY,1996-03-05,0.125
NYSE,OXY,1995-12-07,0.125
NYSE,OXY,1995-09-07,0.125
NYSE,OXY,1995-06-08,0.125
NYSE,OXY,1995-03-06,0.125
NYSE,OXY,1994-12-05,0.125
NYSE,OXY,1994-09-02,0.125
NYSE,OXY,1994-06-06,0.125
NYSE,OXY,1994-03-04,0.125
NYSE,OXY,1993-12-06,0.125
NYSE,OXY,1993-09-03,0.125
NYSE,OXY,1993-06-04,0.125
NYSE,OXY,1993-03-04,0.125
NYSE,OXY,1992-12-04,0.125
NYSE,OXY,1992-09-03,0.125
NYSE,OXY,1992-06-04,0.125
NYSE,OXY,1992-03-04,0.125
NYSE,OXY,1991-12-04,0.125
NYSE,OXY,1991-09-04,0.125
NYSE,OXY,1991-06-04,0.125
NYSE,OXY,1991-03-06,0.125
NYSE,OXY,1990-12-04,0.3125
NYSE,OXY,1990-09-04,0.3125
NYSE,OXY,1990-06-05,0.3125
NYSE,OXY,1990-03-05,0.3125
NYSE,OXY,1989-12-05,0.3125
NYSE,OXY,1989-09-05,0.3125
NYSE,OXY,1989-06-19,0.3125
NYSE,OXY,1989-03-06,0.3125
NYSE,OXY,1988-12-06,0.3125
NYSE,OXY,1988-09-06,0.3125
NYSE,OXY,1988-06-20,0.3125
NYSE,OXY,1988-03-04,0.3125
NYSE,OXY,1987-09-03,0.3125
NYSE,OXY,1987-06-04,0.3125
NYSE,OXY,1987-03-11,0.3125
NYSE,OXY,1986-12-04,0.3125
NYSE,OXY,1986-09-04,0.3125
NYSE,OXY,1986-06-04,0.3125
NYSE,OXY,1986-03-04,0.3125
NYSE,OXY,1985-12-09,0.3125
NYSE,OXY,1985-09-04,0.3125
NYSE,OXY,1985-06-04,0.3125
NYSE,OXY,1985-03-05,0.3125
NYSE,OXY,1984-12-04,0.3125
NYSE,OXY,1984-09-04,0.3125
NYSE,OXY,1984-06-11,0.3125
NYSE,OXY,1984-03-05,0.3125
NYSE,OXY,1983-12-05,0.3125
NYSE,OXY,1983-09-07,0.3125
NYSE,OXY,1983-06-06,0.3125
NYSE,OXY,1983-03-04,0.3125
NYSE,OXY,1982-12-06,0.3125
NYSE,OXY,1982-09-03,0.3125
NYSE,OXY,1982-06-04,0.3125
NYSE,OXY,1982-03-04,0.3125
NYSE,ONB,2009-11-27,0.07
NYSE,ONB,2009-08-28,0.07
NYSE,ONB,2009-05-28,0.07
NYSE,ONB,2009-02-26,0.23
NYSE,ONB,2008-11-26,0.23
NYSE,ONB,2008-08-28,0.23
NYSE,ONB,2008-05-29,0.23
NYSE,ONB,2008-02-28,0.23
NYSE,ONB,2007-11-29,0.22
NYSE,ONB,2007-08-30,0.22
NYSE,ONB,2007-05-30,0.22
NYSE,ONB,2007-02-27,0.22
NYSE,ONB,2006-11-29,0.21
NYSE,ONB,2006-08-30,0.21
NYSE,ONB,2006-05-30,0.21
NYSE,ONB,2006-02-27,0.21
NYSE,ONB,2005-11-29,0.19
NYSE,ONB,2005-08-30,0.19
NYSE,ONB,2005-05-27,0.19
NYSE,ONB,2005-02-25,0.19
NYSE,ONB,2004-11-29,0.18095
NYSE,ONB,2004-08-30,0.18095
NYSE,ONB,2004-05-27,0.18095
NYSE,ONB,2004-02-26,0.18095
NYSE,ONB,2003-11-26,0.17233
NYSE,ONB,2003-08-28,0.17233
NYSE,ONB,2003-05-29,0.17233
NYSE,ONB,2003-02-27,0.17233
NYSE,ONB,2002-11-27,0.16412
NYSE,ONB,2002-08-29,0.16412
NYSE,ONB,2002-05-30,0.14685
NYSE,ONB,2002-02-27,0.14685
NYSE,ONB,2002-01-02,0.14081
NYSE,ONB,2001-11-29,0.13986
NYSE,ONB,2001-08-30,0.13986
NYSE,ONB,2001-05-30,0.13986
NYSE,ONB,2001-02-27,0.13986
NYSE,ONB,2001-01-05,0.13163
NYSE,ONB,2000-11-29,0.1332
NYSE,ONB,2000-09-06,0.1332
NYSE,ONB,2000-05-30,0.1332
NYSE,ONB,2000-02-28,0.1332
NYSE,ONB,2000-01-05,0.12536
NYSE,ONB,1999-11-29,0.12686
NYSE,ONB,1999-08-30,0.12686
NYSE,ONB,1999-05-27,0.12686
NYSE,ONB,1999-02-25,0.11442
NYSE,ONB,1998-11-27,0.10897
NYSE,ONB,1998-08-28,0.10897
NYSE,ONB,1998-05-29,0.10897
NYSE,ONB,1998-02-26,0.10897
NYSE,ONB,1998-01-06,0.10424
NYSE,ONB,1997-11-26,0.10378
NYSE,ONB,1997-08-28,0.10378
NYSE,ONB,1997-05-29,0.10378
NYSE,ONB,1997-02-27,0.10378
NYSE,ONB,1997-01-06,0.09928
NYSE,ONB,1996-11-27,0.09884
NYSE,ONB,1996-08-29,0.02493
NYSE,ONB,1996-05-30,0.09884
NYSE,ONB,1996-02-28,0.09454
NYSE,ONB,1996-02-01,0.09454
NYSE,ONB,1995-11-29,0.09884
NYSE,ONB,1995-08-30,0.09884
NYSE,ONB,1995-05-25,0.09884
NYSE,ONB,1995-02-23,0.09884
NYSE,ONB,1995-01-23,0.79501
NYSE,ONB,1994-11-25,0.09884
NYSE,ONB,1994-08-26,0.09884
NYSE,ONB,1994-02-23,0.09884
NYSE,ONB,1994-01-24,0.09025
NYSE,ONB,1993-11-24,0.09025
NYSE,ONB,1993-05-25,0.09025
NYSE,ONB,1993-02-23,0.09025
NYSE,ONB,1993-01-11,0.09025
NYSE,ONB,1992-11-24,0.09025
NYSE,ONB,1992-08-27,0.09025
NYSE,ONB,1992-05-27,0.09025
NYSE,ONB,1992-02-25,0.09025
NYSE,ONB,1991-11-25,0.09025
NYSE,ONB,1991-08-27,0.09025
NYSE,ONB,1991-05-28,0.09025
NYSE,ONB,1991-02-25,0.09025
NYSE,ONB,1991-01-11,0.09025
NYSE,ONB,1990-08-27,0.09025
NYSE,ONB,1990-05-25,0.09025
NYSE,OMX,2008-09-29,0.15
NYSE,OMX,2008-06-27,0.15
NYSE,OMX,2008-03-28,0.15
NYSE,OMX,2007-12-27,0.15
NYSE,OMX,2007-09-27,0.15
NYSE,OMX,2007-06-27,0.15
NYSE,OMX,2007-03-28,0.15
NYSE,OMX,2006-12-27,0.15
NYSE,OMX,2006-09-27,0.15
NYSE,OMX,2006-06-28,0.15
NYSE,OMX,2006-03-29,0.15
NYSE,OMX,2005-12-28,0.15
NYSE,OMX,2005-09-28,0.15
NYSE,OMX,2005-06-29,0.15
NYSE,OMX,2005-03-30,0.15
NYSE,OMX,2004-12-29,0.15
NYSE,OMX,2004-09-29,0.15
NYSE,OMX,2004-06-29,0.15
NYSE,OMX,2004-03-30,0.15
NYSE,OMX,2003-12-29,0.15
NYSE,OMX,2003-09-29,0.15
NYSE,OMX,2003-06-27,0.15
NYSE,OMX,2003-03-28,0.15
NYSE,OMX,2002-12-27,0.15
NYSE,OMX,2002-09-27,0.15
NYSE,OMX,2002-06-27,0.15
NYSE,OMX,2002-03-27,0.15
NYSE,OMX,2001-12-27,0.15
NYSE,OMX,2001-09-27,0.15
NYSE,OMX,2001-06-27,0.15
NYSE,OMX,2001-03-28,0.15
NYSE,OMX,2000-12-27,0.15
NYSE,OMX,2000-09-27,0.15
NYSE,OMX,2000-06-28,0.15
NYSE,OMX,2000-03-29,0.15
NYSE,OMX,1999-12-29,0.15
NYSE,OMX,1999-09-29,0.15
NYSE,OMX,1999-06-29,0.15
NYSE,OMX,1999-03-30,0.15
NYSE,OMX,1998-12-29,0.15
NYSE,OMX,1998-09-29,0.15
NYSE,OMX,1998-06-29,0.15
NYSE,OMX,1998-03-30,0.15
NYSE,OMX,1997-12-29,0.15
NYSE,OMX,1997-09-29,0.15
NYSE,OMX,1997-06-27,0.395
NYSE,OMX,1997-03-27,0.15
NYSE,OMX,1996-12-27,0.15
NYSE,OMX,1996-09-27,0.15
NYSE,OMX,1996-06-27,0.15
NYSE,OMX,1996-03-28,0.15
NYSE,OMX,1995-12-27,0.15
NYSE,OMX,1995-09-27,0.15
NYSE,OMX,1995-06-28,0.15
NYSE,OMX,1995-03-27,0.15
NYSE,OMX,1994-12-23,0.15
NYSE,OMX,1994-09-26,0.15
NYSE,OMX,1994-06-27,0.15
NYSE,OMX,1994-03-25,0.15
NYSE,OMX,1993-12-27,0.15
NYSE,OMX,1993-09-27,0.15
NYSE,OMX,1993-06-25,0.15
NYSE,OMX,1993-03-26,0.15
NYSE,OMX,1992-12-28,0.15
NYSE,OMX,1992-09-09,0.15
NYSE,OMX,1992-06-09,0.15
NYSE,OMX,1992-03-09,0.15
NYSE,OMX,1991-12-17,0.15
NYSE,OMX,1991-09-09,0.38
NYSE,OMX,1991-06-10,0.38
NYSE,OMX,1991-03-11,0.38
NYSE,OMX,1990-12-17,0.38
NYSE,OMX,1990-09-10,0.38
NYSE,OMX,1990-06-11,0.38
NYSE,OMX,1990-03-09,0.38
NYSE,OMX,1989-12-11,0.38
NYSE,OMX,1989-09-11,0.35
NYSE,OMX,1989-06-09,0.35
NYSE,OMX,1989-03-09,0.35
NYSE,OMX,1988-12-09,0.35
NYSE,OMX,1988-09-09,0.3
NYSE,OMX,1988-06-09,0.3
NYSE,OMX,1988-03-09,0.3
NYSE,OMX,1987-12-14,0.3
NYSE,OMX,1987-09-09,0.285
NYSE,OMX,1987-06-09,0.285
NYSE,OMX,1987-03-09,0.285
NYSE,OMX,1986-12-15,0.285
NYSE,OMX,1986-09-09,0.285
NYSE,OMX,1986-06-09,0.285
NYSE,OMX,1986-03-10,0.285
NYSE,OMX,1985-12-10,0.285
NYSE,OMX,1985-09-09,0.285
NYSE,OMX,1985-06-10,0.285
NYSE,OMX,1985-03-11,0.285
NYSE,OMX,1984-12-11,0.285
NYSE,OMX,1984-09-10,0.285
NYSE,OMX,1984-06-11,0.285
NYSE,OMX,1984-03-09,0.285
NYSE,OMX,1983-12-13,0.285
NYSE,OMX,1983-09-09,0.285
NYSE,OMX,1983-06-09,0.285
NYSE,OMX,1983-03-09,0.285
NYSE,OMX,1982-12-14,0.285
NYSE,OMX,1982-09-09,0.285
NYSE,OMX,1982-06-09,0.285
NYSE,OMX,1982-03-09,0.285
NYSE,OMN,2001-04-27,0.05
NYSE,OMN,2001-02-09,0.05
NYSE,OMN,2000-10-30,0.05
NYSE,OMN,2000-07-28,0.05
NYSE,OMN,2000-04-27,0.01
NYSE,OMN,2000-02-10,0.05
NYSE,OMN,1999-11-17,0.05
NYSE,OKE,2010-01-27,0.44
NYSE,OKE,2009-10-28,0.42
NYSE,OKE,2009-07-29,0.42
NYSE,OKE,2009-04-28,0.4
NYSE,OKE,2009-01-28,0.4
NYSE,OKE,2008-10-29,0.4
NYSE,OKE,2008-07-29,0.4
NYSE,OKE,2008-04-28,0.38
NYSE,OKE,2008-01-29,0.38
NYSE,OKE,2007-10-29,0.36
NYSE,OKE,2007-07-27,0.36
NYSE,OKE,2007-04-26,0.34
NYSE,OKE,2007-01-29,0.34
NYSE,OKE,2006-10-27,0.32
NYSE,OKE,2006-07-27,0.32
NYSE,OKE,2006-04-27,0.3
NYSE,OKE,2006-01-27,0.28
NYSE,OKE,2005-10-27,0.28
NYSE,OKE,2005-07-27,0.28
NYSE,OKE,2005-04-28,0.28
NYSE,OKE,2005-01-27,0.25
NYSE,OKE,2004-10-27,0.25
NYSE,OKE,2004-07-28,0.23
NYSE,OKE,2004-04-28,0.21
NYSE,OKE,2004-01-28,0.19
NYSE,OKE,2003-10-29,0.18
NYSE,OKE,2003-07-29,0.17
NYSE,OKE,2003-04-28,0.17
NYSE,OKE,2003-01-30,0.17
NYSE,OKE,2002-10-29,0.155
NYSE,OKE,2002-07-29,0.155
NYSE,OKE,2002-04-26,0.155
NYSE,OKE,2002-01-29,0.155
NYSE,OKE,2001-10-29,0.155
NYSE,OKE,2001-07-27,0.155
NYSE,OKE,2001-04-26,0.155
NYSE,OKE,2001-01-29,0.155
NYSE,OKE,2000-10-27,0.155
NYSE,OKE,2000-07-27,0.155
NYSE,OKE,2000-04-26,0.155
NYSE,OKE,2000-01-27,0.155
NYSE,OKE,1999-10-27,0.155
NYSE,OKE,1999-07-28,0.155
NYSE,OKE,1999-04-28,0.155
NYSE,OKE,1999-01-27,0.155
NYSE,OKE,1998-10-28,0.155
NYSE,OKE,1998-07-29,0.15
NYSE,OKE,1998-04-28,0.15
NYSE,OKE,1998-01-28,0.15
NYSE,OKE,1997-10-29,0.15
NYSE,OKE,1997-07-29,0.15
NYSE,OKE,1997-04-28,0.15
NYSE,OKE,1997-01-29,0.15
NYSE,OKE,1996-10-29,0.15
NYSE,OKE,1996-07-29,0.15
NYSE,OKE,1996-04-26,0.15
NYSE,OKE,1996-01-29,0.145
NYSE,OKE,1995-10-27,0.145
NYSE,OKE,1995-07-27,0.14
NYSE,OKE,1995-04-24,0.14
NYSE,OKE,1995-01-25,0.14
NYSE,OKE,1994-10-25,0.14
NYSE,OKE,1994-07-25,0.14
NYSE,OKE,1994-04-25,0.14
NYSE,OKE,1994-01-25,0.14
NYSE,OKE,1993-10-25,0.135
NYSE,OKE,1993-07-26,0.135
NYSE,OKE,1993-04-26,0.135
NYSE,OKE,1993-01-25,0.135
NYSE,OKE,1992-10-26,0.125
NYSE,OKE,1992-07-27,0.125
NYSE,OKE,1992-04-24,0.125
NYSE,OKE,1992-01-27,0.125
NYSE,OKE,1991-10-25,0.105
NYSE,OKE,1991-07-25,0.105
NYSE,OKE,1991-04-24,0.105
NYSE,OKE,1991-01-25,0.105
NYSE,OKE,1990-10-25,0.095
NYSE,OKE,1990-07-25,0.095
NYSE,OKE,1990-04-24,0.095
NYSE,OKE,1990-01-25,0.095
NYSE,OKE,1989-10-25,0.0875
NYSE,OKE,1989-07-25,0.0875
NYSE,OKE,1989-04-24,0.075
NYSE,OKE,1989-01-25,0.075
NYSE,OKE,1988-01-25,0.16
NYSE,OKE,1987-10-26,0.16
NYSE,OKE,1987-07-27,0.16
NYSE,OKE,1987-04-24,0.16
NYSE,OKE,1987-01-26,0.16
NYSE,OKE,1986-10-27,0.16
NYSE,OKE,1986-07-25,0.16
NYSE,OKE,1986-04-24,0.16
NYSE,OKE,1986-01-27,0.16
NYSE,OKE,1985-10-25,0.16
NYSE,OKE,1985-07-25,0.16
NYSE,ORA,2009-11-16,0.06
NYSE,ORA,2009-08-14,0.06
NYSE,ORA,2009-05-18,0.06
NYSE,ORA,2009-03-12,0.07
NYSE,ORA,2008-11-17,0.05
NYSE,ORA,2008-08-15,0.05
NYSE,ORA,2008-05-16,0.05
NYSE,ORA,2008-03-12,0.05
NYSE,ORA,2007-11-26,0.05
NYSE,ORA,2007-08-20,0.05
NYSE,ORA,2007-05-18,0.05
NYSE,ORA,2007-03-19,0.07
NYSE,ORA,2006-11-28,0.04
NYSE,ORA,2006-08-21,0.04
NYSE,ORA,2006-05-19,0.04
NYSE,ORA,2006-03-24,0.03
NYSE,ORA,2005-11-25,0.03
NYSE,ORA,2005-08-18,0.03
NYSE,ORA,2005-05-19,0.03
NYSE,ORA,2005-03-31,0.03
NYSE,OHI,2010-01-27,0.32
NYSE,OHI,2009-10-29,0.3
NYSE,OHI,2009-07-29,0.3
NYSE,OHI,2009-04-28,0.3
NYSE,OHI,2009-01-28,0.3
NYSE,OHI,2008-10-29,0.3
NYSE,OHI,2008-07-29,0.3
NYSE,OHI,2008-04-28,0.3
NYSE,OHI,2008-01-29,0.29
NYSE,OHI,2007-10-29,0.28
NYSE,OHI,2007-07-27,0.27
NYSE,OHI,2007-04-26,0.27
NYSE,OHI,2007-01-29,0.26
NYSE,OHI,2006-11-01,0.25
NYSE,OHI,2006-07-27,0.24
NYSE,OHI,2006-04-26,0.24
NYSE,OHI,2006-01-27,0.23
NYSE,OHI,2005-10-27,0.22
NYSE,OHI,2005-07-27,0.22
NYSE,OHI,2005-04-28,0.21
NYSE,OHI,2005-01-27,0.2
NYSE,OHI,2004-10-27,0.19
NYSE,OHI,2004-07-28,0.18
NYSE,OHI,2004-04-28,0.18
NYSE,OHI,2004-01-29,0.17
