exchange,stock_symbol,date,dividends
NYSE,ODC,2003-02-12,0.072
NYSE,ODC,2002-11-13,0.072
NYSE,ODC,2002-08-07,0.072
NYSE,ODC,2002-05-08,0.072
NYSE,ODC,2002-02-13,0.072
NYSE,ODC,2001-08-15,0.072
NYSE,ODC,2001-05-09,0.072
NYSE,ODC,2001-02-14,0.072
NYSE,ODC,2000-11-08,0.072
NYSE,ODC,2000-08-14,0.072
NYSE,ODC,2000-05-10,0.072
NYSE,ODC,2000-02-09,0.072
NYSE,ODC,1999-11-09,0.072
NYSE,ODC,1999-08-11,0.072
NYSE,ODC,1999-05-12,0.072
NYSE,ODC,1999-02-10,0.072
NYSE,ODC,1998-11-10,0.064
NYSE,ODC,1998-08-12,0.064
NYSE,ODC,1998-05-13,0.064
NYSE,ODC,1998-02-11,0.064
NYSE,ODC,1997-11-12,0.064
NYSE,ODC,1997-08-13,0.064
NYSE,ODC,1997-05-14,0.064
NYSE,ODC,1997-02-12,0.064
NYSE,ODC,1996-11-13,0.064
NYSE,ODC,1996-08-14,0.064
NYSE,ODC,1996-05-15,0.064
NYSE,ODC,1996-02-14,0.064
NYSE,ODC,1995-11-15,0.064
NYSE,ODC,1995-08-16,0.064
NYSE,ODC,1995-05-15,0.064
NYSE,ODC,1995-02-13,0.064
NYSE,ODC,1994-11-14,0.064
NYSE,ODC,1994-08-15,0.056
NYSE,ODC,1994-05-16,0.056
NYSE,ODC,1994-02-14,0.056
NYSE,ODC,1993-11-15,0.056
NYSE,ODC,1993-08-16,0.056
NYSE,ODC,1993-05-17,0.056
NYSE,ODC,1993-02-12,0.048
NYSE,ODC,1992-11-09,0.048
NYSE,ODC,1992-08-17,0.048
NYSE,ODC,1992-05-18,0.048
NYSE,ODC,1992-02-14,0.048
NYSE,ODC,1991-08-16,0.048
NYSE,ODC,1991-05-16,0.048
NYSE,ODC,1991-02-15,0.04
NYSE,ODC,1990-05-16,0.04
NYSE,OGE,2010-01-06,0.363
NYSE,OGE,2009-10-07,0.355
NYSE,OGE,2009-07-08,0.355
NYSE,OGE,2009-04-07,0.355
NYSE,OGE,2009-01-07,0.355
NYSE,OGE,2008-10-08,0.348
NYSE,OGE,2008-07-08,0.348
NYSE,OGE,2008-04-08,0.348
NYSE,OGE,2008-01-08,0.348
NYSE,OGE,2007-10-05,0.34
NYSE,OGE,2007-07-06,0.34
NYSE,OGE,2007-04-05,0.34
NYSE,OGE,2007-01-08,0.34
NYSE,OGE,2006-10-05,0.333
NYSE,OGE,2006-07-06,0.333
NYSE,OGE,2006-04-06,0.333
NYSE,OGE,2006-01-06,0.333
NYSE,OGE,2005-10-05,0.333
NYSE,OGE,2005-07-06,0.333
NYSE,OGE,2005-04-06,0.333
NYSE,OGE,2005-01-05,0.333
NYSE,OGE,2004-10-06,0.333
NYSE,OGE,2004-07-07,0.333
NYSE,OGE,2004-04-06,0.333
NYSE,OGE,2004-01-07,0.333
NYSE,OGE,2003-10-08,0.333
NYSE,OGE,2003-07-08,0.333
NYSE,OGE,2003-04-08,0.333
NYSE,OGE,2003-01-08,0.333
NYSE,OGE,2002-10-08,0.333
NYSE,OGE,2002-07-08,0.333
NYSE,OGE,2002-04-08,0.333
NYSE,OGE,2002-01-08,0.333
NYSE,OGE,2001-10-05,0.333
NYSE,OGE,2001-07-06,0.333
NYSE,OGE,2001-04-06,0.333
NYSE,OGE,2001-01-08,0.333
NYSE,OGE,2000-10-05,0.333
NYSE,OGE,2000-07-06,0.333
NYSE,OGE,2000-04-06,0.333
NYSE,OGE,2000-01-06,0.333
NYSE,OGE,1999-10-06,0.333
NYSE,OGE,1999-07-07,0.333
NYSE,OGE,1999-04-07,0.332
NYSE,OGE,1999-01-06,0.332
NYSE,OGE,1998-10-07,0.332
NYSE,OGE,1998-07-08,0.332
NYSE,OGE,1998-04-07,0.3325
NYSE,OGE,1998-01-07,0.3325
NYSE,OGE,1997-10-08,0.3325
NYSE,OGE,1997-07-08,0.3325
NYSE,OGE,1997-04-08,0.3325
NYSE,OGE,1997-01-08,0.3325
NYSE,OGE,1996-10-08,0.3325
NYSE,OGE,1996-07-08,0.3325
NYSE,OGE,1996-04-08,0.3325
NYSE,OGE,1996-01-08,0.3325
NYSE,OGE,1995-10-05,0.3325
NYSE,OGE,1995-07-06,0.3325
NYSE,OGE,1995-04-04,0.3325
NYSE,OGE,1995-01-04,0.3325
NYSE,OGE,1994-10-03,0.3325
NYSE,OGE,1994-07-01,0.3325
NYSE,OGE,1994-04-04,0.3325
NYSE,OGE,1994-01-04,0.3325
NYSE,OGE,1993-10-04,0.3325
NYSE,OGE,1993-07-02,0.3325
NYSE,OGE,1993-04-02,0.3325
NYSE,OGE,1993-01-04,0.3325
NYSE,OGE,1992-10-05,0.3325
NYSE,OGE,1992-07-06,0.3325
NYSE,OGE,1992-04-06,0.3325
NYSE,OGE,1992-01-06,0.3325
NYSE,OGE,1991-10-04,0.3225
NYSE,OGE,1991-07-03,0.3225
NYSE,OGE,1991-04-04,0.3225
NYSE,OGE,1991-01-04,0.3225
NYSE,OGE,1990-10-03,0.31
NYSE,OGE,1990-07-03,0.31
NYSE,OGE,1990-04-04,0.31
NYSE,OGE,1990-01-04,0.31
NYSE,OGE,1989-10-03,0.2975
NYSE,OGE,1989-07-05,0.2975
NYSE,OGE,1989-04-04,0.2975
NYSE,OGE,1989-01-04,0.2975
NYSE,OGE,1988-10-04,0.285
NYSE,OGE,1988-07-05,0.285
NYSE,OGE,1988-04-05,0.285
NYSE,OGE,1988-01-04,0.285
NYSE,OSM,2010-01-12,0.015
NYSE,OSM,2009-12-10,0.011
NYSE,OSM,2009-10-09,0.012
NYSE,OSM,2009-09-10,0.015
NYSE,OSM,2009-08-12,0.027
NYSE,OSM,2009-07-10,0.033
NYSE,OSM,2009-06-10,0.047
NYSE,OSM,2009-05-21,0.042
NYSE,OSM,2009-04-09,0.044
NYSE,OSM,2009-03-11,0.059
NYSE,OSM,2009-02-11,0.12
NYSE,OSM,2009-01-12,0.147
NYSE,OSM,2008-12-10,0.151
NYSE,OSM,2008-11-12,0.161
NYSE,OSM,2008-10-09,0.144
NYSE,OSM,2008-09-10,0.131
NYSE,OSM,2008-08-12,0.126
NYSE,OSM,2008-07-10,0.123
NYSE,OSM,2008-06-11,0.128
NYSE,OSM,2008-05-12,0.129
NYSE,OSM,2008-04-10,0.129
NYSE,OSM,2008-03-12,0.125
NYSE,OSM,2008-02-12,0.117
NYSE,OSM,2008-01-10,0.101
NYSE,OSM,2007-12-12,0.09
NYSE,OSM,2007-11-09,0.093
NYSE,OSM,2007-10-10,0.096
NYSE,OSM,2007-09-12,0.1
NYSE,OSM,2007-08-10,0.097
NYSE,OSM,2007-07-11,0.098
NYSE,OSM,2007-06-12,0.094
NYSE,OSM,2007-05-10,0.084
NYSE,OSM,2007-04-11,0.096
NYSE,OSM,2007-03-12,0.076
NYSE,OSM,2007-02-12,0.086
NYSE,OSM,2007-01-10,0.086
NYSE,OSM,2006-12-12,0.12
NYSE,OSM,2006-11-10,0.131
NYSE,OSM,2006-10-11,0.13
NYSE,OSM,2006-09-12,0.131
NYSE,OSM,2006-08-10,0.118
NYSE,OSM,2006-07-12,0.11
NYSE,OSM,2006-06-12,0.119
NYSE,OSM,2006-05-10,0.123
NYSE,OSM,2006-04-11,0.115
NYSE,OSM,2006-03-10,0.105
NYSE,OSM,2006-02-10,0.135
NYSE,OSM,2006-01-11,0.172
NYSE,OSM,2005-12-12,0.116
NYSE,OSM,2005-11-09,0.11
NYSE,OSM,2005-10-12,0.093
NYSE,OSM,2005-09-12,0.102
NYSE,OSM,2005-08-10,0.117
NYSE,OSM,2005-07-12,0.106
NYSE,OSM,2005-06-10,0.106
NYSE,OSM,2005-05-11,0.102
NYSE,OIA,2010-01-20,0.035
NYSE,OIA,2009-12-16,0.035
NYSE,OIA,2009-11-18,0.035
NYSE,OIA,2009-10-21,0.035
NYSE,OIA,2009-09-16,0.035
NYSE,OIA,2009-08-19,0.035
NYSE,OIA,2009-07-22,0.035
NYSE,OIA,2009-06-17,0.035
NYSE,OIA,2009-05-20,0.035
NYSE,OIA,2009-04-15,0.035
NYSE,OIA,2009-03-18,0.039
NYSE,OIA,2009-02-18,0.039
NYSE,OIA,2009-01-21,0.039
NYSE,OIA,2008-12-17,0.044
NYSE,OIA,2008-11-19,0.039
NYSE,OIA,2008-10-22,0.039
NYSE,OIA,2008-09-17,0.039
NYSE,OIA,2008-08-20,0.039
NYSE,OIA,2008-07-16,0.039
NYSE,OIA,2008-06-18,0.039
NYSE,OIA,2008-05-21,0.039
NYSE,OIA,2008-04-16,0.039
NYSE,OIA,2008-03-05,0.039
NYSE,OIA,2008-02-06,0.039
NYSE,OIA,2008-01-09,0.039
NYSE,OIA,2007-12-05,0.039
NYSE,OIA,2007-11-07,0.039
NYSE,OIA,2007-10-03,0.039
NYSE,OIA,2007-09-05,0.045
NYSE,OIA,2007-08-01,0.045
NYSE,OIA,2007-07-03,0.045
NYSE,OIA,2007-06-06,0.045
NYSE,OIA,2007-05-02,0.045
NYSE,OIA,2007-04-03,0.045
NYSE,OIA,2007-03-07,0.045
NYSE,OIA,2007-02-07,0.045
NYSE,OIA,2007-01-03,0.045
NYSE,OIA,2006-12-06,0.046
NYSE,OIA,2006-11-01,0.045
NYSE,OIA,2006-10-04,0.045
NYSE,OIA,2006-09-06,0.045
NYSE,OIA,2006-07-05,0.045
NYSE,OIA,2006-06-07,0.045
NYSE,OIA,2006-05-03,0.045
NYSE,OIA,2006-04-05,0.045
NYSE,OIA,2006-03-01,0.045
NYSE,OIA,2006-02-01,0.045
NYSE,OIA,2006-01-04,0.045
NYSE,OIA,2005-12-07,0.045
NYSE,OIA,2005-11-02,0.045
NYSE,OIA,2005-10-05,0.045
NYSE,OIA,2005-09-07,0.043
NYSE,OIA,2005-08-03,0.043
NYSE,OIA,2005-07-06,0.043
NYSE,OIA,2005-06-01,0.043
NYSE,OIA,2005-05-04,0.043
NYSE,OIA,2005-04-06,0.043
NYSE,OIA,2005-03-02,0.043
NYSE,OIA,2005-02-02,0.043
NYSE,OIA,2005-01-05,0.043
NYSE,OIA,2004-12-08,0.043
NYSE,OIA,2004-11-03,0.043
NYSE,OIA,2004-10-06,0.043
NYSE,OIA,2004-09-01,0.04
NYSE,OIA,2004-08-04,0.04
NYSE,OIA,2004-07-07,0.04
NYSE,OIA,2004-06-02,0.04
NYSE,OIA,2004-05-05,0.04
NYSE,OIA,2004-04-14,0.04
NYSE,OIA,2004-03-03,0.04
NYSE,OIA,2004-02-04,0.04
NYSE,OIA,2004-01-07,0.04
NYSE,OIA,2003-12-03,0.04
NYSE,OIA,2003-11-05,0.04
NYSE,OIA,2003-10-01,0.04
NYSE,OIA,2003-09-03,0.045
NYSE,OIA,2003-08-06,0.045
NYSE,OIA,2003-07-09,0.045
NYSE,OIA,2003-06-04,0.045
NYSE,OIA,2003-05-07,0.045
NYSE,OIA,2003-04-02,0.045
NYSE,OIA,2003-03-05,0.045
NYSE,OIA,2003-02-05,0.045
NYSE,OIA,2003-01-08,0.045
NYSE,OIA,2002-12-04,0.045
NYSE,OIA,2002-11-06,0.045
NYSE,OIA,2002-10-02,0.045
NYSE,OIA,2002-09-04,0.048
NYSE,OIA,2002-08-07,0.048
NYSE,OIA,2002-07-02,0.048
NYSE,OIA,2002-06-05,0.048
NYSE,OIA,2002-05-01,0.048
NYSE,OIA,2002-04-03,0.048
NYSE,OIA,2002-03-06,0.048
NYSE,OIA,2002-02-06,0.048
NYSE,OIA,2002-01-02,0.048
NYSE,OIA,2001-12-05,0.048
NYSE,OIA,2001-11-07,0.048
NYSE,OIA,2001-10-03,0.048
NYSE,OIA,2001-09-05,0.048
NYSE,OIA,2001-08-01,0.048
NYSE,OIA,2001-07-03,0.048
NYSE,OIA,2001-06-06,0.048
NYSE,OIA,2001-05-02,0.048
NYSE,OIA,2001-04-04,0.048
NYSE,OIA,2001-03-07,0.048
NYSE,OIA,2001-02-07,0.048
NYSE,OIA,2001-01-03,0.045
NYSE,OIA,2000-12-06,0.048
NYSE,OIA,2000-11-01,0.048
NYSE,OIA,2000-10-04,0.045
NYSE,OIA,2000-09-06,0.053
NYSE,OIA,2000-08-02,0.053
NYSE,OIA,2000-07-05,0.053
NYSE,OIA,2000-06-07,0.053
NYSE,OIA,2000-05-03,0.053
NYSE,OIA,2000-04-05,0.053
NYSE,OIA,2000-03-01,0.053
NYSE,OIA,2000-02-02,0.053
NYSE,OIA,2000-01-05,0.053
NYSE,OIA,1999-12-01,0.053
NYSE,OIA,1999-11-03,0.053
NYSE,OIA,1999-10-06,0.053
NYSE,OIA,1999-09-01,0.05
NYSE,OIA,1999-08-04,0.05
NYSE,OIA,1999-07-07,0.051
NYSE,OIA,1999-06-02,0.05
NYSE,OIA,1999-05-05,0.05
NYSE,OIA,1999-04-07,0.05
NYSE,OIA,1999-03-03,0.05
NYSE,OIA,1999-02-03,0.05
NYSE,OIA,1999-01-06,0.05
NYSE,OIA,1998-12-02,0.05
NYSE,OIA,1998-11-04,0.05
NYSE,OIA,1998-10-07,0.05
NYSE,OIA,1998-09-02,0.048
NYSE,OIA,1998-08-05,0.048
NYSE,OIA,1998-07-08,0.048
NYSE,OIA,1998-06-03,0.048
NYSE,OIA,1998-05-06,0.048
NYSE,OIA,1998-04-01,0.048
NYSE,OIA,1998-03-04,0.048
NYSE,OIA,1998-02-04,0.048
NYSE,OIA,1998-01-07,0.048
NYSE,OIA,1997-12-03,0.048
NYSE,OIA,1997-11-05,0.048
NYSE,OIA,1997-10-01,0.048
NYSE,OIA,1997-09-03,0.05
NYSE,OIA,1997-08-06,0.05
NYSE,OIA,1997-07-09,0.05
NYSE,OIA,1997-06-04,0.05
NYSE,OIA,1997-05-07,0.05
NYSE,OIA,1997-04-02,0.05
NYSE,OIA,1997-03-05,0.05
NYSE,OIA,1997-02-05,0.05
NYSE,OIA,1997-01-08,0.05
NYSE,OIA,1996-12-04,0.05
NYSE,OIA,1996-11-06,0.05
NYSE,OIA,1996-10-02,0.055
NYSE,OIA,1996-09-04,0.055
NYSE,OIA,1996-08-07,0.055
NYSE,OIA,1996-07-02,0.055
NYSE,OIA,1996-06-05,0.055
NYSE,OIA,1996-05-01,0.055
NYSE,OIA,1996-04-02,0.055
NYSE,OIA,1996-03-06,0.055
NYSE,OIA,1996-02-07,0.055
NYSE,OIA,1996-01-10,0.055
NYSE,OIA,1995-12-06,0.055
NYSE,OIA,1995-11-08,0.055
NYSE,OIA,1995-10-04,0.052
NYSE,OIA,1995-09-06,0.052
NYSE,OIA,1995-08-09,0.052
NYSE,OIA,1995-07-12,0.052
NYSE,OIA,1995-06-14,0.052
NYSE,OIA,1995-05-01,0.052
NYSE,OIA,1995-04-03,0.052
NYSE,OIA,1995-03-06,0.052
NYSE,OIA,1995-02-06,0.052
NYSE,OIA,1995-01-09,0.052
NYSE,OIA,1994-12-05,0.052
NYSE,OIA,1994-11-04,0.052
NYSE,OIA,1994-10-03,0.052
NYSE,OIA,1994-09-02,0.052
NYSE,OIA,1994-08-01,0.052
NYSE,OIA,1994-07-01,0.052
NYSE,OIA,1994-06-06,0.052
NYSE,OIA,1994-05-02,0.052
NYSE,OIA,1994-04-04,0.052
NYSE,OIA,1994-03-07,0.052
NYSE,OIA,1994-02-07,0.052
NYSE,OIA,1994-01-03,0.052
NYSE,OIA,1993-12-06,0.052
NYSE,OIA,1993-11-01,0.052
NYSE,OIA,1993-10-04,0.052
NYSE,OIA,1993-09-03,0.052
NYSE,OIA,1993-08-02,0.052
NYSE,OIA,1993-07-02,0.052
NYSE,OIA,1993-06-07,0.052
NYSE,OIA,1993-05-03,0.052
NYSE,OIA,1993-04-12,0.052
NYSE,OIA,1993-03-01,0.052
NYSE,OIA,1993-02-01,0.052
NYSE,OIA,1993-01-04,0.052
NYSE,OIA,1992-12-07,0.052
NYSE,OIA,1992-11-02,0.052
NYSE,OIA,1992-10-05,0.052
NYSE,OIA,1992-09-04,0.06
NYSE,OIA,1992-08-03,0.06
NYSE,OIA,1992-07-06,0.06
NYSE,OIA,1992-06-01,0.06
NYSE,OIA,1992-05-04,0.06
NYSE,OIA,1992-04-06,0.06
NYSE,OIA,1992-03-02,0.06
NYSE,OIA,1992-02-03,0.06
NYSE,OIA,1992-01-06,0.06
NYSE,OIA,1991-12-02,0.06
NYSE,OIA,1991-11-04,0.06
NYSE,OIA,1991-10-07,0.06
NYSE,OIA,1991-09-09,0.06
NYSE,OIA,1991-08-05,0.06
NYSE,OIA,1991-07-08,0.065
NYSE,OIA,1991-06-03,0.065
NYSE,OIA,1991-05-06,0.065
NYSE,OIA,1991-04-01,0.065
NYSE,OIA,1991-03-04,0.065
NYSE,OIA,1991-02-04,0.065
NYSE,OIA,1991-01-07,0.065
NYSE,OIA,1990-12-03,0.065
NYSE,OIA,1990-11-05,0.07
NYSE,OIA,1990-10-01,0.07
NYSE,OIA,1990-08-31,0.07
NYSE,OIA,1990-08-06,0.07
NYSE,OIA,1990-06-29,0.07
NYSE,OIA,1990-06-04,0.07
NYSE,OIA,1990-05-07,0.07
NYSE,OIA,1990-04-02,0.07
NYSE,OIA,1990-03-05,0.07
NYSE,OIA,1990-02-05,0.07
NYSE,OIA,1989-12-29,0.07
NYSE,OIA,1989-12-04,0.07
NYSE,OIA,1989-11-06,0.07
NYSE,OIA,1989-10-02,0.07
NYSE,OIA,1989-09-01,0.07
NYSE,OIA,1989-08-07,0.07
NYSE,OIA,1989-06-30,0.07
NYSE,OIA,1989-06-05,0.07
NYSE,OIA,1989-05-01,0.065
NYSE,OIA,1989-04-03,0.065
NYSE,OIA,1989-03-06,0.06
NYSE,OIA,1989-02-06,0.05
NYSE,OIA,1988-12-30,0.05
NYSE,OIA,1988-12-12,0.04
NYSE,OIA,1988-11-04,0.04
NYSE,OB,2009-12-15,0.21
NYSE,OB,2009-09-14,0.21
NYSE,OB,2009-06-12,0.21
NYSE,OB,2009-03-12,0.21
NYSE,OB,2008-12-18,0.21
NYSE,OB,2008-09-11,0.21
NYSE,OB,2008-06-12,0.21
NYSE,OB,2008-03-13,2.24
NYSE,OB,2007-12-13,0.21
NYSE,OB,2007-09-13,0.21
NYSE,OB,2007-06-14,0.21
NYSE,OB,2007-03-15,0.21
NYSE,OCR,2009-12-03,0.023
NYSE,OCR,2009-08-26,0.023
NYSE,OCR,2009-06-10,0.023
NYSE,OCR,2009-03-04,0.023
NYSE,OCR,2008-12-03,0.023
NYSE,OCR,2008-08-27,0.023
NYSE,OCR,2008-06-11,0.023
NYSE,OCR,2008-03-04,0.023
NYSE,OCR,2007-11-28,0.023
NYSE,OCR,2007-08-29,0.023
NYSE,OCR,2007-06-08,0.023
NYSE,OCR,2007-03-01,0.023
NYSE,OCR,2006-11-24,0.023
NYSE,OCR,2006-08-30,0.023
NYSE,OCR,2006-05-31,0.023
NYSE,OCR,2006-03-01,0.023
NYSE,OCR,2005-11-23,0.023
NYSE,OCR,2005-08-26,0.023
NYSE,OCR,2005-06-01,0.023
NYSE,OCR,2004-11-23,0.023
NYSE,OCR,2004-08-26,0.023
NYSE,OCR,2004-05-27,0.023
NYSE,OCR,2004-02-25,0.023
NYSE,OCR,2003-11-25,0.023
NYSE,OCR,2003-08-26,0.023
NYSE,OCR,2003-05-28,0.023
NYSE,OCR,2003-02-26,0.023
NYSE,OCR,2002-11-25,0.023
NYSE,OCR,2002-08-26,0.023
NYSE,OCR,2002-05-29,0.023
NYSE,OCR,2002-02-26,0.023
NYSE,OCR,2001-11-23,0.023
NYSE,OCR,2001-08-24,0.023
NYSE,OCR,2001-05-30,0.023
NYSE,OCR,2001-02-26,0.023
NYSE,OCR,2000-11-22,0.023
NYSE,OCR,2000-08-24,0.023
NYSE,OCR,2000-05-30,0.023
NYSE,OCR,2000-02-24,0.023
NYSE,OCR,1999-11-22,0.023
NYSE,OCR,1999-08-25,0.023
NYSE,OCR,1999-05-27,0.022
NYSE,OCR,1999-02-17,0.022
NYSE,OCR,1998-11-19,0.02
NYSE,OCR,1998-08-21,0.02
NYSE,OCR,1998-05-29,0.02
NYSE,OCR,1998-02-18,0.02
NYSE,OCR,1997-11-20,0.018
NYSE,OCR,1997-08-22,0.018
NYSE,OCR,1997-05-30,0.018
NYSE,OCR,1997-02-19,0.018
NYSE,OCR,1996-11-21,0.015
NYSE,OCR,1996-08-22,0.015
NYSE,OCR,1996-05-31,0.015
NYSE,OCR,1996-02-21,0.015
NYSE,OCR,1995-11-16,0.0125
NYSE,OCR,1995-08-17,0.0125
NYSE,OCR,1995-05-23,0.0125
NYSE,OCR,1995-02-17,0.0125
NYSE,OCR,1994-11-15,0.01125
NYSE,OCR,1994-08-16,0.01125
NYSE,OCR,1994-05-24,0.01125
NYSE,OCR,1994-02-18,0.01125
NYSE,OCR,1993-11-17,0.01
NYSE,OCR,1993-08-17,0.01
NYSE,OCR,1993-05-25,0.01
NYSE,OCR,1993-02-12,0.01
NYSE,OCR,1992-11-18,0.00875
NYSE,OCR,1992-08-18,0.00875
NYSE,OCR,1992-05-26,0.00875
NYSE,OCR,1992-02-14,0.00875
NYSE,OCR,1991-11-18,0.0075
NYSE,OCR,1991-08-19,0.0075
NYSE,OCR,1991-05-28,0.0075
NYSE,OCR,1991-02-15,0.0075
NYSE,OCR,1990-11-16,0.00625
NYSE,OCR,1990-08-20,0.00625
NYSE,OCR,1990-05-24,0.00625
NYSE,OCR,1990-02-16,0.00625
NYSE,OCR,1989-11-17,0.005
NYSE,OCR,1989-08-21,0.005
NYSE,OCR,1989-05-22,0.005
NYSE,OCR,1989-03-08,0.005
NYSE,OPY,2009-11-10,0.11
NYSE,OPY,2009-08-12,0.11
NYSE,OPY,2009-05-13,0.11
NYSE,OPY,2009-02-11,0.11
NYSE,OPY,2008-11-12,0.11
NYSE,OPY,2008-08-13,0.11
NYSE,OPY,2008-05-14,0.11
NYSE,OPY,2008-02-13,0.11
NYSE,OPY,2007-11-07,0.11
NYSE,OPY,2007-08-08,0.11
NYSE,OPY,2007-05-02,0.1
NYSE,OPY,2007-02-07,0.1
NYSE,OPY,2006-11-08,0.1
NYSE,OPY,2006-08-02,0.1
NYSE,OPY,2006-05-03,0.1
NYSE,OPY,2006-02-08,0.1
NYSE,OPY,2005-11-08,0.09
NYSE,OPY,2005-08-03,0.09
NYSE,OPY,2005-02-09,0.09
NYSE,OPY,2004-11-03,0.09
NYSE,OPY,2004-08-04,0.09
NYSE,OPY,2004-05-05,0.09
NYSE,OPY,2004-02-04,0.09
NYSE,OPY,2003-11-05,0.09
NYSE,OPY,2003-08-06,0.09
NYSE,OPY,2003-05-07,0.09
NYSE,OPY,2003-02-12,0.09
NYSE,OPY,2002-11-06,0.09
NYSE,OPY,2002-07-31,0.09
NYSE,OPY,2002-05-01,0.09
NYSE,OPY,2002-02-06,0.09
NYSE,OPY,2001-10-31,0.09
NYSE,OPY,2001-08-01,0.09
NYSE,OPY,2001-05-02,0.09
NYSE,OPY,2001-02-07,0.09
NYSE,OPY,2000-11-01,0.08
NYSE,OPY,2000-08-02,0.08
NYSE,OPY,2000-05-03,0.08
NYSE,OPY,2000-02-09,0.07
NYSE,OPY,1999-11-03,0.07
NYSE,OPY,1999-08-04,0.07
NYSE,OPY,1999-05-05,0.07
NYSE,OPY,1999-02-10,0.07
NYSE,OPY,1998-11-04,0.07
NYSE,OPY,1998-08-05,0.07
NYSE,OPY,1998-05-06,0.07
NYSE,OPY,1998-02-04,0.07
NYSE,OPY,1997-11-05,0.06
NYSE,OPY,1997-08-06,0.06
NYSE,OPY,1997-05-07,0.06
NYSE,OPY,1997-02-06,0.06
NYSE,OPY,1996-08-07,0.05
NYSE,OPY,1996-05-07,0.05
NYSE,OPY,1996-02-07,0.05
NYSE,OPY,1995-02-07,0.038
